unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,POL3,68,69,64,69,71,73,70,71,67,62,63,66,68,66,63,64,63,58,58,50,41,36,35,24
ECAR,ALB,Albania,POL3,97,98,98,98,99,99,99,98,99,98,99,99,99,99,98,99,99,97,97,98,97,98,97,97
MENA,DZA,Algeria,POL3,88,77,81,84,88,91,91,91,95,95,95,95,95,95,94,92,95,95,88,86,87,86,89,86
Non-programme,AND,Andorra,POL3,98,97,98,99,99,99,99,98,97,97,96,99,99,99,99,99,96,93,98,99,99,95,95,95
ESAR,AGO,Angola,POL3,60,41,43,51,56,61,52,58,62,55,48,54,50,56,36,36,43,8,14,18,21,22,28,21
LACR,ATG,Antigua and Barbuda,POL3,98,99,92,95,95,94,94,87,86,96,98,97,99,99,98,99,98,99,98,97,99,93,99,96
LACR,ARG,Argentina,POL3,71,84,79,74,83,84,84,87,93,92,90,90,93,95,97,94,92,92,95,91,95,94,85,88
ECAR,ARM,Armenia,POL3,94,93,93,86,94,92,96,96,96,95,96,96,96,96,94,91,90,87,92,93,96,96,97,96
Non-programme,AUS,Australia,POL3,94,94,95,95,95,95,95,94,93,92,91,92,92,92,92,92,92,92,92,92,92,92,91,90
Non-programme,AUT,Austria,POL3,84,84,86,85,85,85,90,87,93,98,95,92,89,86,83,83,85,83,86,83,84,82,83,71
ECAR,AZE,Azerbaijan,POL3,91,88,93,85,96,96,97,98,98,97,96,92,91,85,84,85,81,80,79,78,79,80,77,75
LACR,BHS,Bahamas,POL3,87,87,86,83,89,90,94,94,95,96,97,99,97,97,97,93,95,94,93,92,93,93,98,91
MENA,BHR,Bahrain,POL3,99,97,99,98,99,99,98,99,98,99,99,99,99,99,97,97,97,98,98,98,97,98,99,97
ROSA,BGD,Bangladesh,POL3,98,98,98,98,98,98,98,98,98,97,96,94,96,94,97,96,96,95,94,88,90,83,85,83
LACR,BRB,Barbados,POL3,85,86,84,85,91,94,91,97,97,95,91,88,91,90,93,85,93,85,91,93,90,86,93,86
ECAR,BLR,Belarus,POL3,98,98,97,97,98,98,98,98,99,97,98,98,98,99,98,98,90,97,98,99,53,99,99,99
Non-programme,BEL,Belgium,POL3,98,98,98,98,98,98,98,98,99,99,99,99,98,98,98,99,99,99,97,96,96,96,96,96
LACR,BLZ,Belize,POL3,85,84,83,79,98,96,88,96,94,95,95,98,95,96,98,94,97,98,96,97,95,93,96,91
WCAR,BEN,Benin,POL3,65,65,66,67,69,71,73,75,72,71,73,80,77,77,80,77,82,76,73,74,75,76,77,78
ROSA,BTN,Bhutan,POL3,98,98,98,96,97,97,97,97,98,98,97,97,95,92,93,96,93,96,95,90,96,89,88,98
LACR,BOL,Bolivia (Plurinational State of),POL3,67,69,70,68,75,83,83,87,88,85,88,93,95,90,92,87,85,82,84,84,82,76,71,74
ECAR,BIH,Bosnia and Herzegovina,POL3,75,75,75,74,74,73,75,79,74,86,87,87,89,90,90,92,95,91,95,87,87,86,92,87
ESAR,BWA,Botswana,POL3,96,86,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,97,97,97
LACR,BRA,Brazil,POL3,85,75,68,74,85,85,84,72,98,96,96,96,98,99,99,99,99,99,99,99,99,99,99,99
EAPR,BRN,Brunei Darussalam,POL3,99,99,99,99,99,99,99,99,99,99,99,92,96,99,99,97,95,94,93,92,99,99,99,99
ECAR,BGR,Bulgaria,POL3,92,91,89,91,93,92,92,92,91,88,95,95,95,94,94,96,95,96,97,94,96,94,94,94
WCAR,BFA,Burkina Faso,POL3,93,92,91,91,91,91,91,91,91,91,89,90,90,90,91,92,93,94,94,83,83,69,62,45
ESAR,BDI,Burundi,POL3,89,91,94,93,93,90,91,94,94,95,96,96,95,94,96,89,93,88,82,76,75,74,72,71
WCAR,CPV,Cabo Verde,POL3,94,94,94,94,97,98,96,95,93,95,93,94,90,99,99,99,98,97,95,94,93,92,91,90
EAPR,KHM,Cambodia,POL3,84,83,87,88,89,86,88,88,90,91,71,90,91,90,95,91,82,80,82,86,69,54,59,62
WCAR,CMR,Cameroon,POL3,74,62,71,68,68,68,73,77,75,76,75,78,80,83,79,82,81,78,79,72,72,66,61,57
Non-programme,CAN,Canada,POL3,92,92,92,92,92,91,91,91,91,91,91,91,87,90,93,96,99,95,93,91,88,88,88,88
WCAR,CAF,Central African Republic,POL3,46,46,46,46,46,46,46,52,51,50,23,47,47,46,45,46,46,47,47,45,44,42,40,38
WCAR,TCD,Chad,POL3,67,58,57,51,46,45,44,44,52,44,46,51,40,44,34,30,40,50,37,32,36,31,26,30
